Atom # | Atom Type | Number of Bonds | Atoms Bond With (#-Symbol)
175 | Si | 4 | 41-C, 45-C, 67-C, 103-C, 
176 | Si | 4 | 42-C, 46-C, 68-C, 104-C, 
177 | Si | 4 | 64-C, 66-C, 71-C, 73-C, 
178 | Si | 4 | 14-C, 15-C, 72-C, 74-C, 
179 | Si | 4 | 38-C, 41-C, 68-C, 75-C, 
180 | Si | 4 | 1-C, 16-C, 42-C, 76-C, 
181 | Si | 4 | 66-C, 69-C, 78-C, 101-C, 
182 | Si | 4 | 15-C, 21-C, 70-C, 102-C, 
183 | Si | 4 | 68-C, 71-C, 80-C, 103-C, 
184 | Si | 4 | 16-C, 22-C, 72-C, 104-C, 
185 | Si | 4 | 77-C, 85-C, 93-C, 101-C, 
186 | Si | 4 | 78-C, 86-C, 94-C, 102-C, 
187 | Si | 4 | 79-C, 87-C, 95-C, 103-C, 
188 | Si | 4 | 80-C, 88-C, 96-C, 104-C, 
189 | Si | 4 | 81-C, 89-C, 97-C, 105-C, 
190 | Si | 4 | 82-C, 90-C, 98-C, 106-C, 
191 | Si | 4 | 83-C, 91-C, 99-C, 107-C, 
192 | Si | 4 | 84-C, 92-C, 100-C, 108-C, 
193 | Si | 4 | 83-C, 85-C, 95-C, 105-C, 
194 | Si | 4 | 84-C, 86-C, 96-C, 106-C, 
195 | Si | 4 | 47-C, 53-C, 87-C, 107-C, 
196 | Si | 4 | 48-C, 54-C, 88-C, 108-C, 
197 | Si | 4 | 63-C, 73-C, 89-C, 99-C, 
198 | Si | 4 | 64-C, 74-C, 90-C, 100-C, 
199 | Si | 4 | 37-C, 55-C, 75-C, 91-C, 
200 | Si | 4 | 38-C, 56-C, 76-C, 92-C, 
201 | Si | 4 | 80-C, 86-C, 95-C, 101-C, 
202 | Si | 4 | 22-C, 25-C, 96-C, 102-C, 
203 | Si | 4 | 46-C, 53-C, 88-C, 103-C, 
204 | Si | 4 | 5-C, 26-C, 54-C, 104-C, 
205 | Si | 4 | 84-C, 90-C, 99-C, 105-C, 
206 | Si | 4 | 24-C, 27-C, 100-C, 106-C, 
207 | Si | 4 | 48-C, 55-C, 92-C, 107-C, 
208 | Si | 4 | 6-C, 28-C, 56-C, 108-C, 
209 | Si | 4 | 82-C, 86-C, 93-C, 105-C, 
210 | Si | 4 | 23-C, 25-C, 94-C, 106-C, 
211 | Si | 4 | 84-C, 88-C, 95-C, 107-C, 
212 | Si | 4 | 24-C, 26-C, 96-C, 108-C, 
213 | Si | 4 | 62-C, 73-C, 90-C, 97-C, 
214 | Si | 4 | 13-C, 27-C, 74-C, 98-C, 
215 | Si | 4 | 64-C, 75-C, 92-C, 99-C, 
216 | Si | 4 | 14-C, 28-C, 76-C, 100-C, 
******************************************************
Total Number of Bonds = 432
	Si-C: 193.046
Mass Density = 3.2133
Volume = 2.23781e-21
	C: 50%
	Si: 50%
